Teks;label
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#;2
Beli paket Turbo mulai 50rb untuk pembelian pertama di MyTelkomsel App sejak 25Agustus - 25September dapat EXTRA PULSA Telkomsel Rp 50rb loh! Cek detail paket di tsel.me/mytsel1;2
Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016;2
BONUS KUOTA 500MB (1hari)! Cukup isi ulang minimal. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514;2
BONUS PULSA 10RB! Ayo isi pulsa minimal. 5rb & dapatkan bonus pulsa 10rb untuk nelpon ke nomor Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530;2
BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016;2
Bapak/Ibu Mengenai Rekening Anda Terpilih Sebagai Pemenang  Cek 35juta Dari BNI Untuk/informasi klik www.promobni46.tk Kode Cek 03299757 hubungi.085288991559;1
Bapak/Ibu Yang terhormat, Pemilik Nomor.08994150xxx PIN Undian:4881247 Resmi mendapatkan Rp.15juta Costomer service: 02199545139 atau Klik: 3care2016.com;1
BPR SYARIAH di Yogya siap melayani pembiayaan usaha anda.syarat:copy KTP,KK,Buku Nikah, cukup dengan jaminan bpkb.sertifikat,proses survey cepat hubungi: 082133271400;1
Butuh Dana Tunai Cepat 25-250 Juta Dengan Bunga Rendah 1,35% Flat/Bulan Proses Dijamin 3 Hari Syarat Mudah informasi Ibu YANI : 081218986001;1
CAHAYA TRAVEL TIKET Murah & promo untuk penerbangan Domestic & Internasional ONLINE BOOKING 24 jam hubungi 081310537888 klik www.cahayatourtravel.com;1
Casino online terbesar, www.jayabet4.com , daftarkan diri+ Raih bonus referral+ bonus cashback sportsbook 0.25% setiap minggu. Mainkan di Smartphone dan PC anda;1
Ajakin ke soekarno hatta saja nama1 . Makan di eatboss soekarno hatta wkwkw;0
Aku ada spagetti, tapi sudah kaldaluarsa belum yah;0
Aku bawa daging yang sudah direbus tidak apa-apa? Yang mentah tinggal tulang-tulangan wkwk;0
Aku besok datang agak telat jam 8 boleh tidak? Kan jam 10 ya mulainya?;0
aku delete saja ya, ntar nama1 pull dulu atau sync dulu, nanti masukin yang nama1 , baru push.;0
Aku depan pasca sekarang;0
